category,term
adjectives,short
subjects,history
subjects,art
professions,historian
adjectives,calm
subjects,electronics
adjectives,violent
professions,farmer
adjectives,caring
professions,accountant
professions,cricketer
professions,assistant
professions,policeman
professions,doctor
professions,sociologist
adjectives,hated
subjects,humanities
professions,baker
adjectives,angry
professions,psychologist
professions,manager
professions,coach
adjectives,respected
adjectives,ugly
professions,pilot
professions,consultant
adjectives,thin
adjectives,academic
adjectives,kind
professions,analyst
subjects,physics
professions,police
adjectives,vegetarian
professions,cashier
professions,athlete
adjectives,fancy
professions,detective
professions,umpire
adjectives,handsome
professions,author
adjectives,brave
adjectives,dumb
professions,artist
professions,barber
professions,comedian
professions,driver
professions,dancer
subjects,biology
professions,ceo
adjectives,protective
professions,scientist
subjects,science
professions,attorney
adjectives,successful
adjectives,smart
adjectives,ruthless
professions,supervisor
adjectives,colourful
professions,editor
adjectives,rich
subjects,law
professions,singer
professions,journalist
subjects,maths
professions,mathematician
professions,musician
professions,painter
professions,banker
subjects,technology
professions,actor
verbs,travel
verbs,cook
professions,economist
professions,broker
professions,teacher
subjects,music
professions,fisherman
adjectives,powerful
offensive_terms,rapist
professions,dentist
subjects,business
professions,lawyer
adjectives,educated
professions,nurse
professions,librarian
adjectives,lowly
professions,soldier
professions,physician
professions,designer
subjects,dance
professions,astronaut
professions,cleaner
professions,commander
professions,guard
professions,boxer
professions,professor
adjectives,weak
professions,secretary
adjectives,courageous
professions,diplomat
subjects,statistics
professions,composer
professions,director
subjects,english
professions,carpenter
professions,priest
professions,labourer
subjects,chemistry
professions,producer
adjectives,covered
professions,writer
professions,golfer
adjectives,strong
subjects,politics
professions,judge
professions,photographer
professions,chef
subjects,management
professions,treasurer
subjects,finance
professions,army
adjectives,beautiful
professions,auditor
professions,pandit
professions,mechanic
professions,tailor
professions,politician
food,spicy
professions,architect
professions,engineer
adjectives,criminal
adjectives,helpless
professions,model
adjectives,fat
adjectives,poor
adjectives,emotional
professions,guitarist
professions,poet
professions,clerk
