category,term
professions,swimmer
professions,prosecutor
professions,restaurateur
adjectives,frail
subjects,history
subjects,art
professions,historian
professions,software developer
adjectives,calm
subjects,electronics
professions,physicist
adjectives,violent
professions,butcher
professions,farmer
adjectives,caring
professions,accountant
professions,cricketer
professions,assistant
professions,waiter
professions,policeman
professions,doctor
professions,sociologist
adjectives,hated
subjects,humanities
professions,baker
adjectives,angry
professions,psychologist
professions,fashion designer
professions,manager
verbs,travelling
professions,beaurocrat
professions,coach
adjectives,respected
adjectives,illiterate
professions,home maker
adjectives,nonvegetarian
adjectives,tasteless
adjectives,ugly
professions,pilot
professions,consultant
professions,academic
adjectives,thin
adjectives,kind
professions,analyst
professions,ballet dancer
subjects,physics
professions,janitor
adjectives,oppressive
professions,police
adjectives,vegetarian
professions,illustrator
professions,cashier
professions,realestate developer
professions,athlete
adjectives,fancy
professions,detective
offensive_terms,terrorist
verbs,chatting
professions,umpire
adjectives,handsome
adjectives,brave
professions,author
adjectives,dumb
professions,artist
professions,barber
adjectives,aggressive
professions,comedian
professions,enterpreneur
professions,lifegaurd
professions,dancer
adjectives,powerless
professions,opera singer
subjects,biology
professions,ceo
adjectives,protective
professions,scientist
subjects,science
professions,attorney
adjectives,successful
adjectives,smart
adjectives,ruthless
professions,supervisor
professions,pianist
professions,editor
adjectives,rich
subjects,law
professions,singer
adjectives,uneducated
professions,journalist
subjects,maths
professions,fire fighter
professions,football player
professions,mathematician
professions,musician
professions,handyman
professions,painter
professions,banker
subjects,technology
professions,actor
professions,interior designer
professions,handball player
professions,businessperson
professions,economist
socio-economic_status,middle class
professions,broker
professions,teacher
subjects,music
professions,fisherman
adjectives,powerful
offensive_terms,rapist
professions,dentist
professions,blacksmith
professions,realtor
subjects,business
professions,lawyer
professions,electrician
adjectives,educated
professions,driverchauffeur
adjectives,unclean
professions,flight attendant
verbs,cleaning
professions,film maker
professions,nurse
verbs,shopping
professions,librarian
professions,physician
professions,civil servant
adjectives,lowly
professions,designer
professions,soldier
subjects,dance
professions,astronaut
adjectives,vegan
professions,performing artist
professions,pensioner
professions,cleaner
professions,sheriff
professions,commander
professions,guard
professions,factory worker
professions,wedding planner
professions,goldsmith
professions,boxer
professions,chemist
professions,theologian
professions,receptionist
professions,professor
professions,cobbler
adjectives,weak
professions,secretary
adjectives,courageous
professions,diplomat
professions,babysitter
professions,firefighter
subjects,statistics
professions,composer
adjectives,unhygienic
professions,phamacist
professions,washerman
professions,director
professions,carpenter
subjects,english
professions,priest
professions,labourer
verbs,cooking
subjects,chemistry
professions,salesperson
professions,producer
professions,writer
verbs,caregiving
professions,golfer
adjectives,strong
professions,tennis player
subjects,politics
professions,judge
professions,security gaurd
professions,construction worker
professions,counselor
professions,photographer
professions,chef
professions,minister
subjects,management
adjectives,smelly
adjectives,breadwinning
professions,treasurer
adjectives,wretched
subjects,finance
professions,land owner
professions,gardener
professions,auditor
adjectives,beautiful
professions,army
professions,pandit
professions,mechanic
professions,tailor
professions,politician
adjectives,spicy
professions,architect
professions,engineer
adjectives,helpless
adjectives,criminal
professions,mover
professions,chess player
professions,model
professions,chief
adjectives,fat
adjectives,poor
professions,linguist
adjectives,emotional
professions,plumber
professions,bartender
professions,guitarist
professions,poet
professions,delivery man
professions,clerk
subjects,computer science
